epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,10.2987,1.01582,0.6449,0.99488,0.19598,0.88889,0.26414,0.12504,0.81222,32.1152,0.84184,0.00016,0.00016,0.00016
2,12.6774,1.05379,0.64149,1.02055,0.16925,0.77778,0.24628,0.13599,0.87213,30.9579,0.90061,0.00030634,0.00030634,0.00030634
3,14.3491,0.97566,0.57892,0.98083,0.17003,0.88889,0.16828,0.09283,0.8706,35.0916,0.9064,0.00041704,0.00041704,0.00041704
4,16.7207,1.00022,0.60905,1.00136,0.15924,0.88889,0.15566,0.0821,0.92057,27.628,0.95451,0.0004921,0.0004921,0.0004921
5,18.2891,0.9741,0.60215,1.00038,0.15356,0.88889,0.16751,0.10085,0.8512,33.6845,0.84867,0.00053152,0.00053152,0.00053152
6,20.713,0.97767,0.63852,0.96834,0.15154,0.88889,0.18619,0.10277,0.9005,29.9244,0.91041,0.0005353,0.0005353,0.0005353
7,22.3124,0.98727,0.59879,0.98039,0.16747,0.88889,0.17828,0.10094,0.89419,21.2236,0.91335,0.00050344,0.00050344,0.00050344
8,23.7588,0.98548,0.61502,0.97196,0.14823,0.88889,0.16765,0.09,0.85372,28.6448,0.87606,0.00043594,0.00043594,0.00043594
9,25.2429,0.9583,0.62239,0.9882,0.14535,0.88889,0.15374,0.0799,0.89437,39.1644,0.91448,0.0003328,0.0003328,0.0003328
10,26.361,0.92545,0.57105,0.96548,0.14553,0.88889,0.15936,0.08273,0.90443,37.9052,0.92593,0.00019402,0.00019402,0.00019402
