epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,7.48508,1.52266,3.75113,1.3621,0.00429,1,0.01093,0.00616,1.37503,3.60905,1.11061,2e-05,2e-05,2e-05
2,14.1851,1.41227,3.51118,1.18157,0.00429,1,0.02001,0.01355,1.2939,3.59376,1.06074,5.9703e-05,5.9703e-05,5.9703e-05
3,19.0203,1.22835,3.55482,1.16227,0.00429,1,0.18732,0.10909,1.25388,3.47094,1.03346,9.901e-05,9.901e-05,9.901e-05
4,24.694,1.24179,2.8925,1.05875,0.00381,0.88889,0.60486,0.36081,1.37697,3.40533,1.01564,0.000137921,0.000137921,0.000137921
5,32.5901,1.27135,2.09675,1.02943,0.00381,0.88889,0.82014,0.4811,1.52642,3.3687,1.06798,0.000176436,0.000176436,0.000176436
6,47.7912,1.11245,1.46726,0.95799,0.00381,0.88889,0.80292,0.43259,1.69755,3.21948,1.1509,0.000214555,0.000214555,0.000214555
7,54.526,1.19588,1.54867,1.0781,0.00381,0.88889,0.7457,0.396,1.69365,3.05375,1.14283,0.000252278,0.000252278,0.000252278
8,58.1679,1.13041,1.53391,1.04478,0.00381,0.88889,0.59392,0.30158,1.51764,3.09657,1.12248,0.000289605,0.000289605,0.000289605
9,61.8094,1.24789,1.63047,1.05029,0.00381,0.88889,0.49388,0.28552,1.4814,3.11177,1.08798,0.000326536,0.000326536,0.000326536
10,65.5906,1.16537,1.44551,0.99263,0.00381,0.88889,0.52359,0.30069,1.43168,3.16045,1.07766,0.000363071,0.000363071,0.000363071
11,69.3471,1.18433,1.49745,1.03129,0.00381,0.88889,0.56675,0.32471,1.44154,3.17888,1.08093,0.00039921,0.00039921,0.00039921
12,72.9482,1.14509,1.38101,0.98189,0.00381,0.88889,0.63918,0.37101,1.49763,3.12564,1.09765,0.000434953,0.000434953,0.000434953
13,76.5828,1.1037,1.2851,0.99726,0.00381,0.88889,0.67424,0.42739,1.56752,3.01614,1.12055,0.0004703,0.0004703,0.0004703
14,80.2706,1.2619,1.47368,1.07055,0.00381,0.88889,0.84123,0.51302,1.48937,2.92967,1.09075,0.000505251,0.000505251,0.000505251
15,84.6733,1.20249,1.18317,1.02952,0.00429,1,0.86176,0.53785,1.41081,2.88343,1.04422,0.000539806,0.000539806,0.000539806
16,88.3067,0.99634,1.32283,1.05469,0.00381,0.88889,0.86078,0.52774,1.34037,2.87193,1.05075,0.000573965,0.000573965,0.000573965
17,92.1339,1.11629,1.12789,1.02384,0.00381,0.88889,0.86078,0.49002,1.41888,2.98222,1.07768,0.000607728,0.000607728,0.000607728
